komoditas,jan,feb,mar,apr,mei,juni,juli,agst,sept,okt,nov,des,total_a1,selisih,ket
Beras,21674,19618,22653,20975,21691,20975,21674,21674,20975,21674,20975,21695,256252,119184,SURPLUS
Gula Pasir,1473,1364,1546,1425,1474,1425,1473,1473,1425,1473,1425,1475,17450,-14419,MINUS
Minyak Goreng,1494,1383,1586,1446,1495,1446,1494,1494,1446,1494,1446,1499,17727,-11997,MINUS
Daging Sapi,441,421,501,427,1210,427,441,441,427,441,427,444,6052,-3285,MINUS
Daging Ayam,2365,2188,2535,2289,2379,2289,2365,2365,2289,2365,2289,2386,28103,21556,SURPLUS
Telur Ayam,2435,2364,2761,2356,2439,2356,2435,2435,2356,2435,2356,2461,29188,6526,SURPLUS
Bawang Merah,591,549,632,572,600,572,591,591,572,591,572,591,7021,-2474,MINUS
Bawang Putih,425,398,451,412,429,412,425,425,412,425,412,426,5052,0,
Jagung,210,27,33,5,5,5,5,5,5,5,5,5,313,180,SURPLUS
Cabai Besar,670,619,697,648,683,648,670,670,648,670,648,673,7945,-21,MINUS
Cabai Rawit,659,614,696,638,669,638,659,659,638,659,638,663,7830,-792,MINUS
